nombre,marca,precio,imagen
"2 en 1 Shampoo y Acondicionador Natural Desodorizante para Perro, 591 ml",Espree,Sin precio,https://www.petco.com.mx/medias/300ftw-101528.jpg?context=bWFzdGVyfHJvb3R8NDYzMDZ8aW1hZ2UvanBlZ3xhRFl3TDJoak1TOHhNVE0yTWpRd01UVTRNekV6TkM4ek1EQm1kSGRmTVRBeE5USTRMbXB3Wnd8YjM3MjMzYTZiYTliNTNmMjAxMDUxZWFmYjYyMzllZjc0ZmQwZjUyNGUwZDVkNWU3NGFmYzJmYzU1YWI3OGZiMg
Shampoo Baño en Seco para Perro,Golden Dog,Sin precio,https://www.petco.com.mx/medias/118345.jpg-300ftw?context=bWFzdGVyfHJvb3R8MTg0MDN8aW1hZ2UvanBlZ3xhRFJsTDJobE55OHhNREk1T0RRek1qUTROelExTkM4eE1UZ3pORFV1YW5Cblh6TXdNR1owZHd8M2M4MzAxZWYwODkxNDMyMzVkMzBhNDk0OTNjYjgzMzBjZjliN2NmOGYwODAwYTU4MjZkYzg2OTFmYzNiMjlmNQ
Colonia con Aroma a Frutos Rojos para Perro y Gato,Tropiclean,$189.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0Mjg4MXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneVl5OW9NemN2T1RReE9UTXlOVEkzTmpFNU1DNXFjR2N8OGIxZjA0MDY4MmFlYWFiOGQzNzBlNzMxZDhmOTBmOTU3NzE4NTIxYjM4MzU1OWU4M2VmZjIyMGNiNmMzMDNkZA
"Botanicals Paw Balm Bálsamo para Cojinetes para Perro y Gato, 42.5 g",Well & Good,Sin precio,https://www.petco.com.mx/medias/140082.jpg-300ftw?context=bWFzdGVyfHJvb3R8MTIzNTB8aW1hZ2UvanBlZ3xhR1ZsTDJoa1pTOHhNRE01TWpNeE1qQTROalUxT0M4eE5EQXdPREl1YW5Cblh6TXdNR1owZHd8YmE3YmNmZmI2YjBhZmI2ZWM5MjdiODI1OTJkYjUxNjgzYjE1MjlkYzllMzFmMGQzNzljNjZhM2JkN2Q3Yzg3Ng
"2 en 1 Shampoo y Acondicionador Natural Libre de Lagrimas para Cachorros, 591 ml",Espree,Sin precio,https://www.petco.com.mx/medias/300ftw-101532-1.jpg?context=bWFzdGVyfHJvb3R8Njc1NjZ8aW1hZ2UvanBlZ3xhRFZqTDJneFl5OHhNVE0yTWpRd016ZzNOamc1TkM4ek1EQm1kSGRmTVRBeE5UTXlYekV1YW5CbnxlZjg0MmY1NjYzY2UxNDFiZWM3N2UzOTA1ZDA4YjliYzRiZTQ2ODgyOGM1YmY2MzRiNGI0NTE3MzNkYzZmOThh
"Peine Desenredante para Capa Interna de Pelo para Perro, Negro",Well & Good,$179.00,https://www.petco.com.mx/medias/101756.jpg-300ftw?context=bWFzdGVyfHJvb3R8MTI5OTB8aW1hZ2UvanBlZ3xhR001TDJnd1lpOHhNREk1T0RNNU5UUTFPVFl4TkM4eE1ERTNOVFl1YW5Cblh6TXdNR1owZHd8ZWFhMTQyMzM3ZWI0MWY2MTVhOGVmYWFlMmQ3MjUzOWQxZDkyMzZlMjJmNzI0Y2M3NGFmZGNiZjY5OGIxZjFhMQ
Shampoo sin Lágrimas para Cachorros,Well & Good,Sin precio,https://www.petco.com.mx/medias/114504.jpg-300ftw?context=bWFzdGVyfHJvb3R8Mjk2MzZ8aW1hZ2UvanBlZ3xhRGMyTDJobU1TOHhNRFF6T0RZd05EUXlNekU1T0M4eE1UUTFNRFF1YW5Cblh6TXdNR1owZHd8NTA3OWY5N2QxMzI4ZTllN2VhMGY3N2NmM2MyMzM1NDg5OGU1NWIxMjk5YThhZTE1YWY3ZWMwZmY0ODEzYWMwZg
"2 en 1 Shampoo y Acondicionador Natural Calmante de Lavanda y Manzanilla para Perro, 591 ml",Espree,Sin precio,https://www.petco.com.mx/medias/300ftw-119162.jpg?context=bWFzdGVyfHJvb3R8NDg3OTl8aW1hZ2UvanBlZ3xhR1l3TDJobE55OHhNVE0yTWpReE16Y3dOekk1TkM4ek1EQm1kSGRmTVRFNU1UWXlMbXB3Wnd8MjQ4NmQwMzg4NTdhZjgwNzg2ZTY2MjU2YTUwNjJiM2QwMjE1YzMzZGVlNjRkYmMyYmE4ZjMzNTRkYjBjZWM0ZQ
"Carda Punta Protegida con Auto Limpieza para Perro, Negro",Well & Good,$249.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3wzMjIzOHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneVlTOW9aV012T1RFMU9UY3pOell3TmpFM05DNXFjR2N8NmZlOGI4ZDU5NWY3YmJkODA0ZWM3NGYyYjU2NWJhOTQ1ZTMxYTkyZTY3YjIyNjY3MTI3MzcyZTdiMGEyZmU0Yg
"2 en 1 Shampoo y Acondicionador Natural Abrillantador para Pelaje Blanco para Perro, 591 ml",Espree,Sin precio,https://www.petco.com.mx/medias/300ftw-101541.jpg?context=bWFzdGVyfHJvb3R8NDU1OTl8aW1hZ2UvanBlZ3xhRGxrTDJobFppOHhNVE0yTWpRd05UZzBNamszTkM4ek1EQm1kSGRmTVRBeE5UUXhMbXB3Wnd8N2UzMjAyMzdjN2MzYTI5MmVjODE2ZDY1MjQwNjQyZWM2NDJmMTFhMTFjN2FmZGYxYWVjN2I3MTUxYzBjOTZiOA
"Toallitas para Orejas, 20 Toallas",Bio Wipe,Sin precio,https://www.petco.com.mx/medias/111662.jpg-300ftw?context=bWFzdGVyfHJvb3R8NDM2Mjh8aW1hZ2UvanBlZ3xhR0pqTDJneU5DOHhNRFEzTlRjd05qUTBPVGsxTUM4eE1URTJOakl1YW5Cblh6TXdNR1owZHd8NDE1NzAxYjMyMzJmOTFjYmFiNzcxOTMzNWZlODczMjQ2MGVlMzI5OGM3ZWMzNGJhZGUwMTdmMzZmYmE4MGE1ZQ
"Shampoo para Perro con Pelo Largo, 473 ml",Perfect Fur,Sin precio,https://www.petco.com.mx/medias/133258.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzczODJ8aW1hZ2UvanBlZ3xhR0ZpTDJnM09DODVOVGc0TXpnMk1qQXhOak13TG1wd1p3fGU5NTA4YzkxNGRkNjA4NzY4ZjY4ODI3NzgzYTI5NGUzODk4NGZjMDlmNjMzOGExYjA5ZjgzZjAxMDUxMzRiNjc
"Shampoo Ultra Premium para Piel Sensible para Perro, 473 ml",Furminator,Sin precio,https://www.petco.com.mx/medias/300ftw-110835.jpg?context=bWFzdGVyfHJvb3R8OTE2NXxpbWFnZS9qcGVnfGFEVmxMMmcwTkM4eE1UTTNNVGMzTmpZek9UQXdOaTh6TURCbWRIZGZNVEV3T0RNMUxtcHdad3xjYWM0YjBmOTIwYjE3MTZjOTBlYTAxOWFiNmJhMDZhY2UyMWYwZDA3YzgwNzFlNzBkYjFiM2VmZWZkNDg1N2Nm
"Shampoo + Acondicionador Lavanda con Probióticos para Perro y Gato, 473 ml",Skout's Honor,Sin precio,https://www.petco.com.mx/medias/141857.jpg-300ftw?context=bWFzdGVyfHJvb3R8Mjg4MDJ8aW1hZ2UvanBlZ3xhRFJtTDJneE9DOHhNRFF6T1RRNU9UUXhOVFU0TWk4eE5ERTROVGN1YW5Cblh6TXdNR1owZHd8NmJhY2ExMGIyNzE3YWVmMmMxYjhjNGQ5NmRmZGQzY2VjMTdjOThiMGE1MzA2ZjhkZDk4NjMwY2YxNDc3Y2M1Yg
Peine Desenredante con Cerdas Giratorias para Perro,JW,$189.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w2NTk4NHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJneFlpOW9OVFF2T1RReE1qSTBOamcyTXprd01pNXFjR2N8YjE3OGIyY2ZmYjcxYjFiMDA2MmM4N2IzOTBiYmNmZTM3YzQ5MDk3NmJmZWE5YmY4ZjhkZmExODgxN2QxZTRkMg
Shampoo en Seco con Aroma a Papaya y Coco para Perro y Gato,Tropiclean,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0MzI0NHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJobVl5OW9aV1V2T1RReE9UTXlNVFUwTURZek9DNXFjR2N8NGU1Y2QzYjFkNzY2ZDlhYjkwN2JmMzkwMzE0ZWE2Yjc0MTljNjk2ZWI0NmFhYjg5M2UzM2NmYzhmNDc2NWFhYQ
"Removedor de Manchas por Lagrimas para Perro, 236 ml",Tropiclean,Sin precio,https://www.petco.com.mx/medias/300ftw-131494.jpg?context=bWFzdGVyfHJvb3R8MzE5ODd8aW1hZ2UvanBlZ3xhR1kwTDJneE15OHhNRGd6TXpFMU9UQTJNVFV6TkM4ek1EQm1kSGRmTVRNeE5EazBMbXB3Wnd8YTg1OTlmOWY1YTY2YTI0MDk3NWZhN2NjZDIxZWE1NWVjNmEwMzdkMDU1MDEzMDg0ZTE2MGRhNGM2OTAwMWQyZA
"Colonia Deodorizante Aroma Suave a Coco para Perro, 118 ml",Espree,$229.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3wzMzU2M3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnM01TOW9OR1V2T1RReE5EUTBNakl5TVRVNU9DNXFjR2N8NGYwMmE4YzAzNzU0MWJmY2Y4MTRlNzI0YTg1ZGM5OGRmZTRkMzBhNzZmOTc2OTg0ZDM5YzkxODg4OTA5NjBlNQ
