nombre,marca,precio,imagen
"Navidad Pijama Patrón Flor de Nochebuena para Perro, Mediano",Merry Makings,$399.00,https://www.petco.com.mx/medias/300ftw-144517.jpg?context=bWFzdGVyfHJvb3R8NDkxNTV8aW1hZ2UvanBlZ3xhREZpTDJnNVlTOHhNRGt6TXpZME9EUTFOemMxT0M4ek1EQm1kSGRmTVRRME5URTNMbXB3Wnd8NDkyYWEzNDE5MTk2Y2U5YTAwNDkzNGI4YjgzY2NhYzc4NjU0MmFiMWI3ZGMzYjQ2MjVhNTAyYTY4MGY1ODViZA
"The Charismatic Chaleco Musilu Color Rosa para Perro, Chico",Youly,Sin precio,https://www.petco.com.mx/medias/300ftw-149831.jpg?context=bWFzdGVyfHJvb3R8MTI3ODk5fGltYWdlL2pwZWd8YUdNM0wyZzFZeTh4TVRJME1qVXlOakEwT0RJNE5pOHpNREJtZEhkZk1UUTVPRE14TG1wd1p3fDA1ZGVmZmJjYjg0ODQ3YzMyNmI2MGE5MTA1MjY2ZDQwZjE3ZTExMjgyYmE2NmUyNWFhOGFhZDgzMjE1MGExOTE
"Navidad Suéter Patrón Tartán Rojo para Perro, Chico",Merry Makings,$399.00,https://www.petco.com.mx/medias/300ftw-144531.jpg?context=bWFzdGVyfHJvb3R8Mzc5MDh8aW1hZ2UvanBlZ3xhR0UwTDJnek5pOHhNRGt5TmpFek56a3pNemcxTkM4ek1EQm1kSGRmTVRRME5UTXhMbXB3Wnd8ZTZmNTI5NzQ3NmI3ZjBkYjc1Njk3MjlmM2I5YTIzODhkYjY2ZjFlMTViOWFlYTdiMGZlZWE1YzEwZDgzOTE0Mg
"Botas para Todo Tipo de Climas Color Negro para Perro, Mediano",Goo-eez Lites,Sin precio,https://www.petco.com.mx/medias/300ftw-149542.jpg?context=bWFzdGVyfHJvb3R8NTUzODB8aW1hZ2UvanBlZ3xhRFpsTDJnM015OHhNVE0wTURZNE1EazFNemc0Tmk4ek1EQm1kSGRmTVRRNU5UUXlMbXB3Wnd8NjdmMGE4YjllY2QwMjY4MjkzMzlmYzNkNDdiNjk4ODAzYWNkOWQ1ODRiOWI1ODAyMDkwZmEzNTcwOTg3M2FhNw
"Navigator Lentes con Protección UV Tipo Wayfarer Color Azul para Perro, Mediano",Pose Pets,Sin precio,https://www.petco.com.mx/medias/300ftw-150446.jpg?context=bWFzdGVyfHJvb3R8Nzk2NTh8aW1hZ2UvanBlZ3xhR05tTDJnMU9DOHhNVEUzT0RNek9UYzJNakl3Tmk4ek1EQm1kSGRmTVRVd05EUTJMbXB3Wnd8M2FjMDAwMzZiZmE4MGQ1N2FjMmIyMzM0MTIzNTEwNzRmMmZlMTJlNGI2Y2QyNmZlMzQ2OTFkNTYwMWYyMTg5Zg
"Disfraz de Vampiro para Perro, Chico",Latipaw,$449.00,https://www.petco.com.mx/medias/300ftw-141959.jpg?context=bWFzdGVyfHJvb3R8NDE0MjJ8aW1hZ2UvanBlZ3xhR015TDJoaU55OHhNVFV4TURneE5qZzJOak16TkM4ek1EQm1kSGRmTVRReE9UVTVMbXB3Wnd8NGRhYzVmYzYyMGI5MTA4MWFkYjM1NjNiZWU5ZDMzYTUzZjNiZWRkNWQ0NWI1ZTY5YjQ0ZWRmMGQxMDA5ZTVmYw
"Spring Playera Básica Roja con Estampado para Perro, XX-Grande",Youly,Sin precio,https://www.petco.com.mx/medias/300ftw-141237.jpg?context=bWFzdGVyfHJvb3R8MzMxMDR8aW1hZ2UvanBlZ3xhRFEwTDJnME5DOHhNRGMxTmpJNE5qQTFORFF6TUM4ek1EQm1kSGRmTVRReE1qTTNMbXB3Wnd8ZDQ0MDhmOGMwNjA3N2IzMzZhOTBlN2M2Nzg0Y2I5YTc4ZTQ2ODNlZDZkNzhlYmFjNDcyOWNjNGRmYzhkMTc1Zg
Sin nombre,Sin marca,Sin precio,https://www.petco.com.mx/medias/300ftw-138479.jpg?context=bWFzdGVyfHJvb3R8MzIyMTl8aW1hZ2UvanBlZ3xhREUzTDJnM1pTOHhNRGc1TURVNU5UZ3lOemMwTWk4ek1EQm1kSGRmTVRNNE5EYzVMbXB3Wnd8NzY5MWUyM2FiYjYxMDk2NGVlZWZlZGRmOWI5YzFiY2ZmZDgwNjgxOWQ4Yjc5NDUyNjdkMGIxZDQwMDVmNjdlZQ
"Botas para Todo Tipo de Climas Color Rosa para Perro, Mediano",Goo-eez Lites,Sin precio,https://www.petco.com.mx/medias/300ftw-149548.jpg?context=bWFzdGVyfHJvb3R8MzM5NTh8aW1hZ2UvanBlZ3xhREkyTDJnM1pDOHhNVEV4TlRRM016TXdOVFl6TUM4ek1EQm1kSGRmTVRRNU5UUTRMbXB3Wnd8M2E3YWEzNGJiZWJiOTAwMWQyMGJhZjU2NGU2ODU1Nzg2Yjc1N2VmNGMxNDg3ZmIzNjViMThkNmVhNTExZjEyYQ
"Spring Sudadera con Estampado Best Friend Ever para Perro, X-Grande",Youly,$449.00,https://www.petco.com.mx/medias/300ftw-149431.jpg?context=bWFzdGVyfHJvb3R8MzU0Njl8aW1hZ2UvanBlZ3xhR0kzTDJneVpDOHhNVEkwTmpNek1qVXhNREl6T0M4ek1EQm1kSGRmTVRRNU5ETXhMbXB3Wnd8ZjJmMjEwZTkxNjdiMzY0MGJlYTU0YjUzNzE3YzNlZmNjZDFhNTYyMmZhN2Y5NDE5NWE2YTMxOGZmODk5OGNlOA
Sin nombre,Sin marca,Sin precio,https://www.petco.com.mx/medias/300ftw-138583.jpg?context=bWFzdGVyfHJvb3R8NDMxNDN8aW1hZ2UvanBlZ3xhRGhtTDJneFpDOHhNRGc1TURneE9UWXdNRFF4TkM4ek1EQm1kSGRmTVRNNE5UZ3pMbXB3Wnd8ODg0YTExYzRhMmEyOWQzNzE4YmQ4N2U3YzcxMmY4MGNjNDY3ZmVjZjU4ZDJjMDdiMjljMTk5N2JjYzU2ZGE1Nw
"Pijama Negra Estilo Traje Biker para Perro, Chico",Youly,$399.00,https://www.petco.com.mx/medias/138085.jpg-300ftw?context=bWFzdGVyfHJvb3R8NjQyOXxpbWFnZS9qcGVnfGFHSTNMMmd6TkM4eE1ESTBOVEUzTkRnNE5qUXpNQzh4TXpnd09EVXVhbkJuWHpNd01HWjBkd3w0ZGZmNWU4MWYwN2NiN2UzYzdjMWU4ZjcxY2EzNzkyMjdjZmExY2QwN2YyMDJmMmQ0NmM4ZjQ1MzhkMmVkNDEz
"The Charismatic Chaleco Musilu Color Amarillo para Perro, Chico",Youly,Sin precio,https://www.petco.com.mx/medias/300ftw-149858.jpg?context=bWFzdGVyfHJvb3R8MTA3NjM3fGltYWdlL2pwZWd8YUdGaUwyZ3dOQzh4TVRJME1qWXlOREV5TWpreE1DOHpNREJtZEhkZk1UUTVPRFU0TG1wd1p3fDVjODEyOTg2MGRkMzc1M2RmNWYzNDFmM2MyZDkwZTIxMjlkNzU5ZDllOTczNWYyNmMyODJlNWM4ODNmNDA2MWU
"Fall Suéter Chestnuts Color Beige con Patrón Tribal para Perro, Chico",Fabdog,Sin precio,https://www.petco.com.mx/medias/300ftw-149747.jpg?context=bWFzdGVyfHJvb3R8Nzk4MDZ8aW1hZ2UvanBlZ3xhR05qTDJnMk1DOHhNVEl4T0Rrek9UYzNNamsxT0M4ek1EQm1kSGRmTVRRNU56UTNMbXB3Wnd8YWE0YTY2ZTU1NWZkMDRjOTcyMjEwMmE1YTVhYTY2ZTM0M2FkMTZmMWQwMGVjNDM5ZDgwMDQ3OTllNjE5ODA1Nw
"Spring & Summer Vestido Rosa Patrón Flores para Perro, Grande",Youly,$399.00,https://www.petco.com.mx/medias/300ftw-151882.jpg?context=bWFzdGVyfHJvb3R8MTMyNDY5fGltYWdlL2pwZWd8YUdWa0wyZzJaaTh4TVRNek16Y3pPRE16TWpFNU1DOHpNREJtZEhkZk1UVXhPRGd5TG1wd1p3fDlmMGM3ZmYzYmJjNDlhY2Y1NzJmMjJkOGU3ZjdmZDlkY2YzMjFmNzRlZWFhNWI3OTY5NWEzODllNTNjYWViOTg
"Playera con Estampado Floral para Perro, Mediano",Youly,$349.00,https://www.petco.com.mx/medias/138031.jpg-300ftw?context=bWFzdGVyfHJvb3R8NjgyNnxpbWFnZS9qcGVnfGFEUXhMMmd6WkM4eE1ESTBNREV6TURnd09UZzROaTh4TXpnd016RXVhbkJuWHpNd01HWjBkd3xmODNjYmI4Y2VmZjMwZGY1NWFjMzIxNDRmMGI1MDk3NTI1ZmZhNDVjYWFlZDNiZjFmZDA5MjFkOTEyYjQzNDQ0
"Spring & Summer Vestido Patrón de Rosas Multicolor para Perro, Mediano",Youly,$399.00,https://www.petco.com.mx/medias/300ftw-151876.jpg?context=bWFzdGVyfHJvb3R8MTA3OTg5fGltYWdlL2pwZWd8YURJMkwyaGpOaTh4TVRNek16Y3hNelV5TmpneE5DOHpNREJtZEhkZk1UVXhPRGMyTG1wd1p3fGQ2NWFhZDVmNjZhZGVhMjdlNWU4YjFkMWFiYzc3MjUxMmZlZDFmZmUwN2IxZWEyNDhiMGMwYTllZDUzOTVjYzA
"Spring & Summer Vestido Rosa Patrón Hawaiano para Perro, Chico",Youly,$399.00,https://www.petco.com.mx/medias/300ftw-151859.jpg?context=bWFzdGVyfHJvb3R8MTEzMDIyfGltYWdlL2pwZWd8YUROa0wyZzBNUzh4TVRNME5EVTRPVGszT1RZM09DOHpNREJtZEhkZk1UVXhPRFU1TG1wd1p3fDc5Zjk4OGFkZGNjYTQ2ZTQ4NTAxMTBmYTUxM2ZlZmZhYzNhMWM5YTliNmUyMzE1YjM1MzVhMDQxN2VmMTllYTk
